Sp	Line	Ind	NectarVolume	SugarConcentation	TotalSugAmt	NectarySize
CL5	184	149	1.128541667	283.9672868	314.4572445	0.101750399
CL5	184	421	0.946458333	291.6332422	276.1206881	0.109054058
CL5	186	161	2.387916667	327.5762009	781.4859287	0.153113112
CL5	186	893	1.91625	329.927446	634.6475053	0.114404989
CL5	192	134	1.419583333	335.4000849	490.3910907	0.120993269
CL5	192	349	1.757083333	340.4313711	604.1844217	0.134002473
CL5	195	1120	1.500208333	305.5561744	471.5055709	0.088798292
CL5	195	1287	1.692291667	340.3618504	576.7580297	0.076131585
CL5	196	14	2.340416667	323.5458325	761.5059937	0.081779768
CL5	196	594	1.455625	276.8980793	461.5890764	0.095565739
CL5	197	67	1.990833333	333.4194001	653.5694273	0.109558517
CL5	197	976	2.25375	281.4141245	639.5299712	0.156270083
CL5	198	1239	1.527916667	340.5727693	519.3362764	0.10674698
CL5	198	777	0.878333333	342.4885955	307.2415028	0.080781005
CL5	200	183	0.368333333	336.9413003	125.9858676	0.072339537
CL5	200	356	0.593541667	330.3104801	204.3589775	0.096259764
CL5	201	167	0.875	303.2071303	265.801414	0.081949933
CL5	201	839	0.805208333	281.2463795	227.7543368	0.081310176
CL5	202	1294	1.881458333	327.081995	620.1381047	0.079263368
CL5	202	1378	0.871041667	278.3440418	242.8793544	0.068342232
CL5	203	1105	1.827916667	362.1000077	657.2061508	0.093771351
CL5	203	1339	3.834791667	347.9315596	1345.277688	0.119511319
CL5	205	1204	1.609791667	299.0515022	480.7743482	0.069045108
CL5	205	679	0.948333333	283.763456	276.1982926	0.064437353
CL5	207	1017	1.100416667	270.7924502	322.4792371	0.073983084
CL5	207	1024	1.895625	308.7957663	585.032825	0.100252771
CL5	209	323	2.465416667	333.6365813	816.0847298	0.158425231
CL5	209	493	2.043125	337.6612094	689.2224696	0.136806138
CL5	211	567	1.5075	289.3080363	468.9577476	0.07472129
CL5	211	861	1.0375	275.900502	289.2910512	0.057491348
CL5	214	1010	1.533541667	288.3513788	441.6540815	0.087313071
CL5	214	664	1.201041667	276.6426564	339.138424	0.07348777
CL5	217	308	2.254375	331.0116604	748.6108582	0.103576497
CL5	217	735	1.945	342.6481394	660.7080873	0.119952913
CL5	218	1303	2.394791667	328.7383239	786.2278066	0.078711908
CL5	218	451	2.019583333	266.7461913	542.348043	0.081292847
CL5	220	863	2.644583333	322.8136983	859.7102767	0.206019829
CL5	220	89	2.035625	339.9253571	692.8249115	0.168234198
CL5	222	1231	1.567708333	301.7865245	479.4572458	0.134101715
CL5	222	1386	1.712083333	346.3561091	592.0564511	0.158429457
CL5	226	1181	3.050833333	353.8824039	1070.673542	0.182763681
CL5	226	690	2.05125	381.1477356	779.8152811	0.146718028
CL5	227	759	1.644375	279.9105494	459.1829779	0.109892577
CL5	227	978	1.674583333	287.0094525	479.236426	0.111801449
CL5	229	1086	0.477916667	208.3275997	101.8484614	0.076130785
CL5	229	724	1.1975	312.6269084	372.7630405	0.120875159
CL5	231	782	1.653333333	253.3622069	423.2258994	0.065908543
CL5	231	820	1.398541667	306.9538522	427.1376561	0.080845308
CL5	233	1058	1.240416667	230.0890527	308.0656655	0.087805157
CL5	233	1305	1.145416667	242.0486636	274.5604484	0.064765899
CL5	234	1341	1.685	309.8296763	527.0414585	0.071645034
CL5	234	808	1.545208333	291.7994665	459.8776092	0.063759513
CL5	235	1192	2.189166667	330.2794049	768.0529706	0.138691545
CL5	235	1381	1.145	361.9421177	417.9332081	0.14991495
CL5	237	894	1.01625	333.0638983	335.8874004	0.110930979
CL5	237	957	0.456041667	249.6261273	118.8830264	0.097741779
CL5	238	1106	1.73875	305.4790229	522.6426196	0.083339277
CL5	238	693	1.851875	297.5730174	564.1889747	0.098689882
CL5	240	906	2.011875	280.4969865	559.3934779	0.079613212
CL5	240	933	1.2575	273.243848	346.9359143	0.063146618
CL5	244	1258	2.26625	324.5736336	750.8098653	0.179119917
CL5	244	866	0.510833333	294.7312414	156.8387257	0.064743583
CL5	247	1256	0.727291667	225.4000859	186.0613694	0.069463751
CL5	247	974	1.322916667	287.7244372	394.9937415	0.094234453
CL5	250	491	1.177708333	274.0871289	350.776615	0.14257099
CL5	250	895	1.991041667	311.1512256	626.9932062	0.107763363
CL5	251	479	0.985625	292.1634258	286.1048527	0.093243868
CL5	251	644	1.237916667	277.4558411	341.3585762	0.09618365
CL5	255	1071	1.868333333	319.1897416	612.4696854	0.099331559
CL5	255	43	1.883541667	286.9157485	552.446986	0.084948996
CL5	256	1301	2.33125	338.4253703	792.1216804	0.162621478
CL5	256	898	1.913125	377.2391175	707.7379917	0.15017543
CL5	257	936	1.039166667	288.0020471	304.3410252	0.054549587
CL5	257	977	1.87625	297.7404714	560.8651291	0.085278274
CL5	258	141	0.977291667	270.7013618	260.7197536	0.082439711
CL5	258	699	1.086666667	293.1885497	334.1464501	0.079069088
CL5	260	192	1.343125	277.9538198	373.6049339	0.082183163
CL5	260	914	2.058541667	299.0792886	615.8611013	0.084358895
CL5	262	632	1.765833333	285.3599795	514.5731407	0.103225053
CL5	262	639	1.137291667	320.5273265	368.3226359	0.115335968
CL5	264	118	0.9425	237.321993	244.8076534	0.065455365
CL5	264	1223	1.822708333	262.0231628	476.933825	0.078465259
CL5	269	1133	1.433541667	254.8044464	364.5994166	0.048919774
CL5	269	563	1.08875	234.081977	255.5179628	0.054966559
CL5	270	1261	1.589791667	272.8966994	443.4916981	0.084578888
CL5	270	837	0.517083333	290.2711017	152.9753826	0.051530817
CL5	271	217	1.184791667	315.7616637	377.0301419	0.094722345
CL5	271	229	1.680625	320.1209082	537.9362258	0.084896654
CL5	272	205	1.54	358.7218568	553.9999483	0.101946613
CL5	272	964	0.431458333	302.0584171	129.8136288	0.052519243
CL5	273	1238	2.573333333	339.5774649	875.2494657	0.11896826
CL5	273	677	1.686666667	346.3824705	589.0395049	0.114299931
CL5	274	1295	2.454583333	358.7237282	889.3524918	0.136759515
CL5	274	154	1.390416667	341.2814732	474.8797677	0.0966346
CL5	275	666	1.541041667	276.9077737	432.9736269	0.087849416
CL5	275	912	1.544375	252.8147163	391.9115171	0.083134214
CL5	276	541	0.99	260.7396945	258.0984931	0.074735767
CL5	276	806	1.672291667	277.7329002	474.8472073	0.079095858
CL5	277	295	1.54125	338.3441325	570.2938349	0.108220561
CL5	277	535	2.041666667	359.8835077	733.4043593	0.175093618
CL5	278	1170	2.667708333	292.1701146	779.1838821	0.092952418
CL5	278	428	1.056041667	322.8079555	336.4286381	0.063564117
CL5	279	168	1.174166667	283.5928566	348.9480162	0.085921688
CL5	279	616	0.453333333	255.3321016	116.5313698	0.053903076
CL5	281	156	0.876458333	272.1070649	238.9187971	0.058906188
CL5	281	50	0.962083333	250.4683759	237.7216289	0.05194339
CL5	282	1042	1.578125	296.2672731	460.6988026	0.094383922
CL5	282	856	0.955416667	279.7722017	266.5931953	0.063501919
CL5	283	17	1.031875	315.5725183	335.2961377	0.092715706
CL5	283	998	1.896458333	315.7303146	605.642332	0.099124387
CL5	284	470	1.054583333	371.9010149	371.6158524	0.109422708
