Family	Ind	Accession	Sp	F2G	Rep	Seed Mass	Seed Length	Seed Width	Seed L/W Ratio
R17	1364	CL5	F5	454	C	0.026	4.39	4.04	1.087
R17	1365	CL5	F5	451	D	0.024	3.89	3.97	0.98
R17	1366	CL5	F5	068s	B	0.032	4.74	4.23	1.121
R17	1367	CL5	F5	411	B	0.025	4.21	3.82	1.102
R17	1368	CL5	F5	329	B	0.023	4.46	3.82	1.168
R17	1369	L	LS	S1	14	0.025	4.68	4.12	1.136
R17	1370	CL5	F5	090b	D	0.031	4.47	4.06	1.101
R17	1371	CL5	F5	152	D	0.037	4.75	4.27	1.112
R17	1372	CL5	F5	174	A	0.03	4.29	3.78	1.135
R17	1373	CL5	F5	56	A	0.025	4.46	3.95	1.129
R17	1374	CL5	F5	144	D	0.026	4.37	3.61	1.211
R17	1375	CL5	F5	8	D	0.037	4.83	4.27	1.131
R17	1376	CL5	F5	360	B	0.02	4.1	3.69	1.111
R17	1377	CL5	F5	300	A	0.026	4.58	3.86	1.187
R17	1378	CL5	F5	202	D	0.033	4.49	4.12	1.09
R17	1379	L	LS	S1	3	0.032	4.7	4.25	1.106
R17	1380	CL5	F5	166	A	0.032	4.34	4.01	1.082
R17	1381	CL5	F5	235	D	0.031	5.16	4.03	1.28
R17	1382	C	LS	S1	20	0.028	4.43	3.86	1.148
R17	1383	CL5	F5	333	C	0.024	3.63	3.74	0.971
R17	1384	CL5	F5	147	B	0.032	4.24	4.07	1.042
R17	1385	CL5	F5	367s	D	0.025	4.57	4.01	1.14
R17	1386	CL5	F5	222	A	0.029	4.28	3.64	1.176
R17	1387	CL5	F5	305b	E	0.025	4.32	4.04	1.069
R17	1388	CL5	F5	452	E	0.026	3.72	3.91	0.951
R17	1389	CL5	F5	104	E	0.032	4.71	3.9	1.208
R17	1390	CL5	F5	452	F	0.02	3.86	3.61	1.069
R17	1391	CL5	F5	305b	F	0.031	4.26	4.49	0.949
R17	1392	CL5	F5	379	F	0.027	4.64	4.22	1.1
R17	1393	CL5	F5	406s	F	0.027	3.93	3.95	0.995
R17	1394	CL5	F5	490b	F	0.018	3.61	3.87	0.933
R17	1395	CL5	F5	460s	F	0.022	3.97	3.66	1.085
R17	1396	CL5	F5	340b	E	0.016	3.82	3.41	1.12
R17	1397	CL5	F5	460s	E	0.028	4.37	3.49	1.252
R17	1398	CL5	F5	18	E	0.026	4.6	4.05	1.136
R17	1399	CL5	F5	379	E	0.029	4.62	4.26	1.085
R17	1400	CL5	F5	176	F	0.038	4.88	4.19	1.165
R17	1401	CL5	F5	18	F	0.023	4.58	3.79	1.208
R17	1402	CL5	F5	406s	E	0.025	4.13	3.92	1.054
R17	1403	CL5	F5	490b	E	0.027	4.53	3.96	1.144
R17	1404	CL5	F5	18	G	0.018	4.28	3.87	1.106
R17	1405	CL5	F5	52	E	0.021	3.95	3.58	1.103
R17	1406	CL5	F5	104	F	0.037	5	4.2	1.19
R17	1407	CL5	F5	176	E	0.033	4.81	4.25	1.132
R17	1408	CL5	F5	52	F	0.022	3.88	3.63	1.069
R17	1409	CL5	F5	340b	F	0.015	3.83	3.58	1.07
